World X,World Y,Image X,Image Y
0,0,368,137
1,0,358,169
2,0,347,202
3,0,336,234
4,0,324,267
5,0,314,300
6,0,303,333
7,0,292,364
8,0,282,396
0,1,338,129
1,1,327,160
2,1,316,193
3,1,305,224
4,1,294,257
5,1,283,288
6,1,273,321
7,1,262,352
8,1,252,383
0,2,308,123
1,2,298,153
2,2,287,184
3,2,276,215
4,2,265,246
5,2,255,278
6,2,244,309
7,2,234,340
8,2,225,370
0,3,281,116
1,3,270,146
2,3,259,176
3,3,249,206
4,3,238,237
5,3,227,267
6,3,218,298
7,3,208,328
8,3,199,358
0,4,255,110
1,4,244,139
2,4,233,168
3,4,223,198
4,4,212,227
5,4,202,257
6,4,192,287
7,4,182,316
8,4,174,346
0,5,230,105
1,5,219,133
2,5,209,161
3,5,198,190
4,5,188,219
5,5,178,248
6,5,169,277
7,5,159,306
8,5,151,334
